Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Visitor),DSLG (Home),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Tue Dec 22 2020,Golden State Warriors,125,Brooklyn Nets,,99,125,december,2020-2021,0,0,0.0,0,0,0.0,2,0,2,,,0,0,0,0
Tue Dec 22 2020,Los Angeles Clippers,109,Los Angeles Lakers,,116,109,december,2020-2021,0,0,0.0,0,0,0.0,0,2,2,,,0,0,0,0
Wed Dec 23 2020,Charlotte Hornets,121,Cleveland Cavaliers,,114,121,december,2020-2021,0,0,0.0,0,0,0.0,2,1,3,,,0,0,0,0
Wed Dec 23 2020,New York Knicks,121,Indiana Pacers,,107,121,december,2020-2021,0,0,0.0,0,0,0.0,1,2,3,,,0,0,0,0
Wed Dec 23 2020,Miami Heat,113,Orlando Magic,,107,113,december,2020-2021,0,0,0.0,0,0,0.0,1,2,3,,,0,0,0,0
Wed Dec 23 2020,Washington Wizards,113,Philadelphia 76ers,,107,113,december,2020-2021,0,0,0.0,0,0,0.0,3,0,3,,,0,0,0,0
Wed Dec 23 2020,New Orleans Pelicans,99,Toronto Raptors,,113,99,december,2020-2021,0,0,0.0,0,0,0.0,0,2,2,,,0,0,0,0
Wed Dec 23 2020,Milwaukee Bucks,122,Boston Celtics,,121,122,december,2020-2021,0,0,0.0,0,0,0.0,2,1,3,,,0,0,0,0
Wed Dec 23 2020,Atlanta Hawks,104,Chicago Bulls,,124,104,december,2020-2021,0,0,0.0,0,0,0.0,0,2,2,,,0,0,0,0
Wed Dec 23 2020,San Antonio Spurs,119,Memphis Grizzlies,,131,119,december,2020-2021,0,0,0.0,0,0,0.0,2,1,3,,,0,0,0,0
Wed Dec 23 2020,Detroit Pistons,111,Minnesota Timberwolves,,101,111,december,2020-2021,0,0,0.0,0,0,0.0,1,0,1,,,0,0,0,0
Wed Dec 23 2020,Sacramento Kings,122,Denver Nuggets,OT,124,122,december,2020-2021,0,0,0.0,0,0,0.0,0,3,3,,,0,0,0,0
Wed Dec 23 2020,Utah Jazz,100,Portland Trail Blazers,,120,100,december,2020-2021,0,0,0.0,0,0,0.0,0,2,2,,,0,0,0,0
Wed Dec 23 2020,Dallas Mavericks,106,Phoenix Suns,,102,106,december,2020-2021,0,0,0.0,0,0,0.0,3,0,3,,,0,0,0,0
Fri Dec 25 2020,New Orleans Pelicans,111,Miami Heat,,98,111,december,2020-2021,1,0,100.0,1,0,100.0,2,0,2,2.0,2.0,0,1,1,0
Fri Dec 25 2020,Golden State Warriors,138,Milwaukee Bucks,,99,138,december,2020-2021,1,0,100.0,1,0,100.0,1,1,2,3.0,2.0,0,1,0,1
Fri Dec 25 2020,Brooklyn Nets,95,Boston Celtics,,123,95,december,2020-2021,0,1,0.0,0,1,0.0,0,3,3,3.0,2.0,1,0,1,0
Fri Dec 25 2020,Dallas Mavericks,138,Los Angeles Lakers,,115,138,december,2020-2021,0,1,0.0,1,0,100.0,1,2,3,2.0,3.0,0,1,0,1
Fri Dec 25 2020,Los Angeles Clippers,108,Denver Nuggets,,121,108,december,2020-2021,0,1,0.0,1,0,100.0,1,1,2,3.0,2.0,0,1,1,0
Sat Dec 26 2020,Atlanta Hawks,112,Memphis Grizzlies,,122,112,december,2020-2021,0,1,0.0,1,0,100.0,1,1,2,3.0,3.0,0,1,1,0
Sat Dec 26 2020,Oklahoma City Thunder,107,Charlotte Hornets,,109,107,december,2020-2021,1,0,100.0,0,0,0.0,1,1,2,,3.0,0,1,0,0
Sat Dec 26 2020,Cleveland Cavaliers,119,Detroit Pistons,2OT,128,119,december,2020-2021,1,0,100.0,0,1,0.0,1,2,3,3.0,3.0,0,1,1,0
Sat Dec 26 2020,Orlando Magic,120,Washington Wizards,,130,120,december,2020-2021,1,0,100.0,0,1,0.0,1,2,3,3.0,3.0,0,1,1,0
Sat Dec 26 2020,Philadelphia 76ers,89,New York Knicks,,109,89,december,2020-2021,1,0,100.0,0,1,0.0,0,3,3,3.0,3.0,0,1,1,0
Sat Dec 26 2020,Indiana Pacers,106,Chicago Bulls,,125,106,december,2020-2021,0,1,0.0,0,1,0.0,2,1,3,3.0,3.0,0,1,1,0
Sat Dec 26 2020,Toronto Raptors,119,San Antonio Spurs,,114,119,december,2020-2021,1,0,100.0,0,1,0.0,1,1,2,3.0,3.0,1,0,0,1
Sat Dec 26 2020,Minnesota Timberwolves,111,Utah Jazz,,116,111,december,2020-2021,1,0,100.0,0,1,0.0,0,3,3,3.0,3.0,1,0,1,0
Sat Dec 26 2020,Houston Rockets,128,Portland Trail Blazers,OT,126,128,december,2020-2021,0,1,0.0,0,0,0.0,1,1,2,,3.0,0,1,0,0
Sat Dec 26 2020,Phoenix Suns,106,Sacramento Kings,,103,106,december,2020-2021,1,0,100.0,0,1,0.0,1,2,3,3.0,3.0,1,0,1,0
Sun Dec 27 2020,Dallas Mavericks,73,Los Angeles Clippers,,124,73,december,2020-2021,2,0,100.0,2,0,100.0,1,2,3,2.0,2.0,2,0,0,2
Sun Dec 27 2020,San Antonio Spurs,98,New Orleans Pelicans,,95,98,december,2020-2021,2,0,100.0,1,1,50.0,1,2,3,1.0,2.0,1,1,2,0
Sun Dec 27 2020,Orlando Magic,113,Washington Wizards,,120,113,december,2020-2021,1,1,50.0,1,1,50.0,1,2,3,1.0,1.0,0,2,2,0
Sun Dec 27 2020,Brooklyn Nets,106,Charlotte Hornets,,104,106,december,2020-2021,1,1,50.0,1,1,50.0,1,2,3,2.0,1.0,0,2,2,0
Sun Dec 27 2020,Philadelphia 76ers,118,Cleveland Cavaliers,,94,118,december,2020-2021,1,1,50.0,1,1,50.0,2,1,3,1.0,1.0,2,0,2,0
Sun Dec 27 2020,Milwaukee Bucks,130,New York Knicks,,110,130,december,2020-2021,1,1,50.0,1,1,50.0,2,1,3,2.0,1.0,0,2,1,1
Sun Dec 27 2020,Boston Celtics,108,Indiana Pacers,,107,108,december,2020-2021,1,1,50.0,0,2,0.0,1,2,3,2.0,1.0,2,0,1,1
