Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Home),DSLG (Visitor),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Tue Oct 24 2023,Los Angeles Lakers,119,Denver Nuggets,,107,119,october,2023-2024,0,0,0.0,0,0,0.0,7,1,8,,,0,0,0,0
Tue Oct 24 2023,Phoenix Suns,104,Golden State Warriors,,108,104,october,2023-2024,0,0,0.0,0,0,0.0,1,3,4,,,0,0,0,0
Wed Oct 25 2023,Houston Rockets,116,Orlando Magic,,86,116,october,2023-2024,0,0,0.0,0,0,0.0,1,1,2,,,0,0,0,0
Wed Oct 25 2023,Boston Celtics,104,New York Knicks,,108,104,october,2023-2024,0,0,0.0,0,0,0.0,1,4,5,,,0,0,0,0
Wed Oct 25 2023,Washington Wizards,143,Indiana Pacers,,120,143,october,2023-2024,0,0,0.0,0,0,0.0,2,1,3,,,0,0,0,0
Wed Oct 25 2023,Atlanta Hawks,116,Charlotte Hornets,,110,116,october,2023-2024,0,0,0.0,0,0,0.0,3,1,4,,,0,0,0,0
Wed Oct 25 2023,Detroit Pistons,103,Miami Heat,,102,103,october,2023-2024,0,0,0.0,0,0,0.0,4,0,4,,,0,0,0,0
Wed Oct 25 2023,Minnesota Timberwolves,97,Toronto Raptors,,94,97,october,2023-2024,0,0,0.0,0,0,0.0,1,1,2,,,0,0,0,0
Wed Oct 25 2023,Cleveland Cavaliers,113,Brooklyn Nets,,114,113,october,2023-2024,0,0,0.0,0,0,0.0,1,3,4,,,0,0,0,0
Wed Oct 25 2023,New Orleans Pelicans,104,Memphis Grizzlies,,111,104,october,2023-2024,0,0,0.0,0,0,0.0,2,2,4,,,0,0,0,0
Wed Oct 25 2023,Oklahoma City Thunder,104,Chicago Bulls,,124,104,october,2023-2024,0,0,0.0,0,0,0.0,0,2,2,,,0,0,0,0
Wed Oct 25 2023,Sacramento Kings,114,Utah Jazz,,130,114,october,2023-2024,0,0,0.0,0,0,0.0,0,3,3,,,0,0,0,0
Wed Oct 25 2023,Dallas Mavericks,119,San Antonio Spurs,,126,119,october,2023-2024,0,0,0.0,0,0,0.0,0,4,4,,,0,0,0,0
Wed Oct 25 2023,Portland Trail Blazers,123,Los Angeles Clippers,,111,123,october,2023-2024,0,0,0.0,0,0,0.0,4,0,4,,,0,0,0,0
Thu Oct 26 2023,Philadelphia 76ers,118,Milwaukee Bucks,,117,118,october,2023-2024,0,0,0.0,0,0,0.0,3,0,3,,,0,0,0,0
Thu Oct 26 2023,Phoenix Suns,100,Los Angeles Lakers,,95,100,october,2023-2024,1,0,100.0,1,0,100.0,3,2,5,2.0,2.0,0,1,1,0
